0,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,0,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,0,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,0,3,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5
5,4,5,1,0,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
5,5,4,5,1,0,5,5,2,5,5,5,5,5,5,5,5,5,5,5
5,5,5,4,5,5,0,3,5,2,5,5,1,5,5,5,5,5,5,5
5,5,5,5,5,5,1,0,3,5,2,5,5,5,5,5,5,5,5,5
5,5,5,5,5,4,5,1,0,5,5,2,5,5,5,5,5,5,5,5
5,5,5,5,5,5,4,5,5,0,3,5,5,1,2,5,5,5,5,5
5,5,5,5,5,5,5,4,5,1,0,3,5,5,5,5,5,5,5,5
5,5,5,5,5,5,5,5,4,5,1,0,5,5,5,5,2,3,5,5
5,5,5,5,5,5,3,5,5,5,5,5,0,2,5,5,5,5,5,5
5,5,5,5,5,5,5,5,5,3,5,5,4,0,5,2,5,5,5,5
5,5,5,5,5,5,5,5,5,4,5,5,5,5,0,1,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,0,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,4,5,5,1,5,0,5,3,2
5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,0,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,0,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,0
